1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
1,1,0
2,2,0
1,3,0
1,3,0
3,4,0
3,4,0
2,5,0
2,5,0
4,6,0
4,6,0
4,7,0
5,8,1
5,8,1
2,9,0
2,9,0
4,10,0
4,10,0
1,11,0
4,12,0
4,12,0
5,13,2
6,14,0
4,15,0
4,15,0
5,16,3
3,17,0
3,18,0
3,18,0
3,19,0
3,19,0
3,20,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
4,30,0
4,30,0
4,31,0
5,32,2
1,33,0
2,34,0
6,35,0
5,36,2
1,1,0
2,2,0
1,3,0
3,4,0
2,5,0
4,6,0
4,7,0
5,8,1
2,9,0
4,10,0
1,11,0
4,12,0
5,13,2
6,14,0
4,15,0
5,16,3
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
2,23,0
2,24,0
4,25,0
1,26,0
1,27,0
3,28,0
2,29,0
